question_id,poll_id,cycle,state,politician,pollster_id,pollster,sponsor_ids,sponsors,display_name,sample_size,poll_population,question_population,methodology,start_date,end_date,sponsor_candidate,tracking,created_at,notes,url,source,yes,no
77841,49580,2017,,Donald Trump,399,Rasmussen/Pulse Opinion Research,"","",Rasmussen Reports/Pulse Opinion Research,1500,lv,lv,IVR/Online,4/3/17,4/5/17,"",TRUE,4/6/17 09:40,,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,Huffpost | Rasmussen,46.0,54.0
77842,49581,2017,,Donald Trump,169,Gallup,"","",Gallup,1500,a,a,Live Phone,4/3/17,4/5/17,"",TRUE,4/6/17 12:58,,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,Huffpost | Gallup,41.0,53.0
77843,49582,,,Donald Trump,1299,icitizen,"","",icitizen,1584,a,a,Online,4/3/17,4/5/17,"",,4/6/17 13:28,,https://icitizen.com/insights/trump-job-approval-april-3-5-2017/,Huffpost,35.0,65.0
77835,49575,2017,,Donald Trump,399,Rasmussen/Pulse Opinion Research,"","",Rasmussen Reports/Pulse Opinion Research,1500,lv,lv,IVR/Online,4/2/17,4/4/17,"",TRUE,4/5/17 09:26,,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,Huffpost | Rasmussen,46.0,54.0
77838,49578,,,Donald Trump,568,YouGov,352,Economist,YouGov,1500,a,a,Online,4/2/17,4/4/17,"",,4/5/17 09:46,,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/2f8nhwlimu/econToplines.pdf,Huffpost,40.0,48.0
77839,49578,,,Donald Trump,568,YouGov,352,Economist,YouGov,1331,a,rv,Online,4/2/17,4/4/17,"",,4/5/17 09:46,,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/2f8nhwlimu/econToplines.pdf,RCP,43.0,50.0
77840,49579,2017,,Donald Trump,169,Gallup,"","",Gallup,1500,a,a,Live Phone,4/2/17,4/4/17,"",TRUE,4/5/17 13:28,,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,Huffpost | Gallup,42.0,52.0
77820,49568,2017,,Donald Trump,169,Gallup,"","",Gallup,1500,a,a,Live Phone,4/1/17,4/3/17,"",TRUE,4/4/17 12:59,,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,Huffpost | Gallup,39.0,55.0
77819,49567,2017,,Donald Trump,399,Rasmussen/Pulse Opinion Research,"","",Rasmussen Reports/Pulse Opinion Research,1500,lv,lv,IVR/Online,3/30/17,4/3/17,"",TRUE,4/4/17 09:48,,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,Huffpost | Rasmussen,43.0,57.0
77821,49569,,,Donald Trump,396,Quinnipiac University,"","",Quinnipiac University,1171,rv,rv,Live Phone,3/30/17,4/3/17,"",,4/4/17 14:30,,https://poll.qu.edu/national/release-detail?ReleaseID=2448,RCP | Huffpost,35.0,57.0
